Referencia NCM;% depreciação;ID;Quantidade;Descrição;COD_INTERNO;ORIGEM;Valor unitário;Tipo de produto;activo/inactivo;localização;Data de Compra;ACORDO;COD_ANTIGO;NOTA_FISCAL;FORNECEDOR;EAN 128;Colunas1;Colunas2;Colunas3
8471.50.10;20;1;1;Computador XPC/AMD/ATHON;30;Adquirido;800;Computador;Activo;Ouvidoria;05/10/2010;PAHI;;;;;;;
8471;20;2;1;NoBreak Ragtek;1331;;30;Electronico;Activo;Ouvidoria;;;;;;;;;
8528.51.20;20;3;1;"Monitor Dell 17""";1327;;220;Monitor;Activo;Ouvidoria;;;;;;;;;
8471.60.52;20;4;1;Teclado Dell;1325;;20;TecladoPC;Activo;Ouvidoria;;;;;;;;;
8518.21.00;20;5;1;Caixas de Som Dell;1328;;30;CaixaDeSom;Activo;Ouvidoria;;;;;;;;;
8472.90.40;10;6;1;Grampeador pequeno preto;1335;;8;Electronico;Activo;Ouvidoria;;;;;;;;;
;;7;1;Carimbo Anderson Ouvidoria;3081;;;Material Escritorio;Activo;Ouvidoria;;;;;;;;;
9403.30.00;10;8;1;Mesa de computador com sup. Para teclado;1326;;50;Mobiliário em madeira;Activo;Ouvidoria;;PAHI;;;;;;;
9401.71.00;10;9;1;Cadeira de ferro coberta com couro;1448;;25;Mobiliário em FERRO;Activo;Ouvidoria;;;;;;;;;
9403.60.00;10;10;1;Armário de madeira 2 portas madeira formica tam. 1.61x0.79;1337;;300;Mobiliário em madeira;Activo;Ouvidoria;;PAHI;;;;;;;
4414.00.00;;11;1;Quadro de aviso tam. 0.90x0.60 forrado com cortiça;1336;;58;Material Escritorio;Activo;Ouvidoria;;;;;;;;;
8517.19.20;0;12;1;Telefone de mesa mod pleno marca intelBras preto;1330;;25;Telefonia;Activo;Ouvidoria;;;;;;;;;
8414.59.90;10;13;1;Ventilador de pé 127 volts marca medic mod fs040-650;1333;;50;Ventilador;Activo;Ouvidoria;;;;;;;;;
9403.30.00;10;14;1;Mesa de escritorio com duas gavetas;1400;;;Mobiliário em madeira;Activo;Faturamento;;;;;;;;;
9401.80.00;;15;1;Cadeira de plástico com apoio de braço;1402;;;Mobiliário em plástico;Activo;Ouvidoria;;;;;;;;;
9403.30.00;;16;1;Mesa de centro a ser usada para suportar a CPU 6,66*0,66;1324;;40;Mobiliário em FERRO;Activo;Ouvidoria;;;;;;;;;
3922.90.00;;17;1;Lixeira com tampa cap 10litros cor azul marca taguar;1403;;12;Mobiliário em plástico;Activo;Ouvidoria;;;;;;;;;
9401.30.90;10;18;1;Cadeira móvel giratoria com 5 rodas;1323;;30;Mobiliário em FERRO;Activo;Ouvidoria;;PAHI;;;;;;;
9401.79.00;;19;1;Banco de ferro com ripas de madeira;778;;229;Mobiliário em plástico;Activo;Corredor de entrada;23/05/2012;;;;;;;;
9401.79.00;;20;1;Banco de ferro com ripas de madeira;777;;229;Mobiliário em FERRO;Activo;Corredor de entrada;23/05/2012;;;;;;;;
9401.79.00;;21;1;Banco de ferro com ripas de madeira;779;;229;Mobiliário em FERRO;Activo;Corredor de entrada;23/05/2012;;;;;;;;
3922.90.00;;22;1;Higienizador desinfectante limpeza de mãos;1404;;;Higiene;Activo;Corredor de entrada;;;;;;;;;
9403.30.00;10;23;1;Mesa confeccionada em MADEIRA com 02 gavetas;78;;367,8;Mobiliário em madeira;Activo;Corredor de entrada;06/10/2010;;;;;;;;
8517.19.20;0;24;1;Telefone Modelo Ibratele cor CREME;806;;40;Telefonia;Activo;Port Convenios;25/05/2012;;;;;;;;
9403.60.00;;25;1;Banco fixo na parede inamovivel de madeira;3077;;;Mobiliário madeira;Activo;Corredor de entrada;;;;;;;;;
8528.51.20;20;26;1;"Monitor dell 15"" SN:BR-0D644F-07591-89C-0JLM";1406;;;Monitor;Activo;Balcão P.S.,Corredor de Entrada;;;227;;;;;;
8471.50.10;20;27;1;Gabinete Dell Vostro;1417;;;Computador;Activo;Balcão P.S.,Corredor de Entrada;;PAHI;271;;;;;;
8471;20;28;1;NoBreak Modelo não reconhecido;1407;;;NoBreak;Desactivo;Reparação TekToner;;;;;;;;;
8471.60.52;20;29;1;Teclado;1364;;;TecladoPC;Activo;Balcão P.S.,Corredor de Entrada;;;;;;;;;
8471.60.53;20;30;1;Rato de computador Mouse;1365;;0,01;RatoPC;Activo;Balcão P.S.,Corredor de Entrada;;;;;;;;;
3922.90.00;;31;1;Higienizador desinfectante limpeza de mãos;1408;;;Higiene;Activo;Balcão P.S.,Corredor de Entrada;;;821;;;;;;
3922.90.00;;32;1;Dispensador de papel para limpeza de mãos;1409;;;Eq. Hospitalar;Activo;Balcão P.S.,Corredor de Entrada;;;;;;;;;
3922.90.00;;33;1;Higienizador desinfectante limpeza de mãos;1410;;;Higiene;Activo;Balcão P.S.,Corredor de Entrada;;;;;;;;;
